amount,date,description
100,2024-12-01,Grocery Shopping
250,2024-12-02,Electronics Purchase
75,2024-12-03,Movie Tickets
120,2024-12-04,Restaurant Dinner
90,2024-12-05,Taxi Fare
300,2024-12-06,Online Course Subscription
450,2024-12-07,House Rent
35,2024-12-08,Coffee with Friends
200,2024-12-09,Utility Bill Payment
500,2024-12-10,New Phone Purchase
60,2024-12-11,Office Supplies
150,2024-12-12,Car Repair
80,2024-12-13,Clothing Purchase
40,2024-12-14,Pharmacy Visit
20,2024-12-15,Local Transport
250,2024-12-16,Gym Membership
125,2024-12-17,Bookstore Purchase
75,2024-12-18,Amusement Park Visit
180,2024-12-19,Doctor's Appointment
320,2024-12-20,Weekend Getaway
500,2024-12-21,Furniture Purchase
220,2024-12-22,Year-end Party Expenses
30,2024-12-23,Gift Wrapping Supplies
100,2024-12-24,Grocery Shopping
400,2024-12-25,Holiday Trip
50,2024-12-26,Gas Refill
150,2024-12-27,Appliance Repair
45,2024-12-28,Salon Visit
35,2024-12-29,Donations
60,2024-12-30,Streaming Service Payment
80,2024-12-31,New Year's Eve Party
